,clips,insertions,gaps,ncf
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,0.009389671361502348,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,0.0,0.0024691358024691358,0.0024691358024691358
512,,0.0,0.0049261083743842365,0.0
513,,0.0,0.002457002457002457,0.0
514,,0.0,0.005037783375314861,0.0
515,,0.002386634844868735,0.002380952380952381,0.0
516,,0.0,0.0,0.0
517,,0.0,0.0028011204481792717,0.0
518,,0.0,0.020887728459530026,0.0
519,,0.0027100271002710027,0.008064516129032258,0.0
520,,0.0028089887640449437,0.0,0.0028089887640449437
521,,0.0,0.0053475935828877,0.0
522,,0.0,0.0,0.0026455026455026454
523,,0.0,0.0028011204481792717,0.0028011204481792717
524,,0.0,0.005633802816901409,0.0028169014084507044
525,,0.0,0.012232415902140673,0.0
526,,0.0,0.012578616352201259,0.0
527,,0.003236245954692557,0.025236593059936908,0.0
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,0.0,0.005277044854881266,0.0
535,,,,
536,,0.0,0.017857142857142856,0.0
537,,0.0,0.005141388174807198,0.0
538,,0.0,0.005141388174807198,0.0
539,,0.0,0.00510204081632653,0.0
540,,0.0,0.007731958762886598,0.0
541,,0.0,0.002506265664160401,0.0
542,,0.0,0.002421307506053269,0.0
543,,0.0,0.0049382716049382715,0.0
544,,0.0025188916876574307,0.002512562814070352,0.0
545,,0.0,0.002506265664160401,0.0
546,,0.0,0.0025575447570332483,0.0
547,,0.0,0.002544529262086514,0.0
548,,0.002583979328165375,0.007692307692307693,0.0
549,,0.0,0.005076142131979695,0.0
550,,0.0,0.0025575447570332483,0.0
551,,0.0,0.0025575447570332483,0.0
552,,0.0,0.005194805194805195,0.0025974025974025974
553,,0.0,0.0026246719160104987,0.0
554,,0.0,0.021108179419525065,0.0
555,,0.0,0.008130081300813009,0.0
556,,0.0027100271002710027,0.002702702702702703,0.0
557,,0.0,0.0,0.0
558,,0.0,0.005025125628140704,0.0
559,,0.0,0.0024937655860349127,0.0
560,,0.0,0.0025380710659898475,0.0
561,,0.0,0.005141388174807198,0.0
562,,0.0,0.010050251256281407,0.0
563,,0.0,0.0026595744680851063,0.0
564,,0.0,0.005970149253731343,0.0
565,,0.0,0.005865102639296188,0.0
566,,0.003105590062111801,0.08781869688385269,0.0
567,,0.0,0.07780979827089338,0.0
568,,,0.08357348703170028,
569,,0.0,0.014245014245014245,0.0
570,,0.0,0.005494505494505495,0.0
571,,0.0,0.0106951871657754,0.0
572,,0.0,0.007894736842105263,0.002631578947368421
573,,0.0,0.027848101265822784,0.0
574,,0.0,0.017766497461928935,0.0
575,,0.0,0.017676767676767676,0.0
576,,0.0,0.015228426395939087,0.0
577,,0.0,0.013020833333333334,0.0026041666666666665
578,,0.0,0.007692307692307693,0.0
579,,0.002890173410404624,0.005747126436781609,0.0
580,,0.015625,0.021406727828746176,0.0
581,,0.0,0.11023622047244094,0.0
582,,0.0,0.064,0.0
583,,0.0,0.008571428571428572,0.0
584,,0.0,0.005571030640668524,0.0
585,,0.0,0.0056179775280898875,0.0
586,,0.0,0.002793296089385475,0.0
587,,0.0,0.002770083102493075,0.0110803324099723
588,,0.0,0.007653061224489796,0.002551020408163265
589,,0.0,0.010282776349614395,0.0
590,,0.0,0.0051813471502590676,0.0
591,,0.0,0.005208333333333333,0.0026041666666666665
592,,0.0,0.005221932114882507,0.0
593,,0.0,0.0051813471502590676,0.0
594,,0.0,0.002617801047120419,0.0
595,,0.002717391304347826,0.0027100271002710027,0.0
596,,0.0,0.005089058524173028,0.0
597,,0.0,0.02005730659025788,0.0
598,,0.0,0.017191977077363897,0.0
599,,0.025806451612903226,0.003215434083601286,0.0
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,,,,
617,,0.0,0.0335195530726257,0.002793296089385475
618,,0.0,0.014044943820224719,0.0
619,,0.003134796238244514,0.024464831804281346,0.0
620,,,,
621,,,,
622,,0.0,0.05367231638418079,0.0
623,,0.0,0.00558659217877095,0.0
624,,,,
625,,,0.010810810810810811,
626,,0.0,0.008152173913043478,0.0
627,,0.0,0.007957559681697613,0.0
628,,0.0,0.021052631578947368,0.002631578947368421
629,,0.0,0.025380710659898477,0.0
630,,0.0,0.020100502512562814,0.0
631,,0.0,0.007653061224489796,0.0
632,,0.0,0.01015228426395939,0.0
633,,0.0,0.007481296758104738,0.0
634,,0.0,0.004975124378109453,0.0
635,,0.0,0.004987531172069825,0.0
636,,0.0,0.0024752475247524753,0.0
637,,0.0,0.004987531172069825,0.0
638,,0.0,0.004987531172069825,0.0
639,,0.0,0.0,0.0
640,,0.0,0.002506265664160401,0.0
641,,0.0,0.0,0.0
642,,0.0,0.0,0.0
643,,0.0,0.0,0.0
644,,0.0,0.0,0.0
645,,0.0,0.0051813471502590676,0.0025906735751295338
646,,0.0,0.010309278350515464,0.0
647,,0.0,0.007772020725388601,0.0
648,,0.0,0.002570694087403599,0.0
649,,,,
650,,0.0,0.0076726342710997444,0.0
651,,0.0,0.007263922518159807,0.0
652,,0.0,0.002421307506053269,0.0
653,,0.0,0.0,0.0
654,,0.0,0.0,0.0
655,,0.0,0.0,0.0
656,,0.0,0.0,0.0
657,,0.0,0.002421307506053269,0.002421307506053269
658,,0.0,0.0024390243902439024,0.0
659,,0.0,0.004784688995215311,0.0
660,,0.0,0.004807692307692308,0.0
661,,0.0,0.002403846153846154,0.0
662,,0.0,0.004784688995215311,0.0
663,,0.0,0.002403846153846154,0.0
664,,0.0,0.0,0.0
665,,0.0,0.0,0.0
666,,0.0,0.0,0.0
667,,0.0,0.0,0.0
668,,0.0,0.0,0.0
669,,0.0,0.0,0.0
670,,0.0,0.0,0.0
671,,0.0,0.005089058524173028,0.0
672,,0.0,0.002583979328165375,0.002583979328165375
673,,0.0025974025974025974,0.0,0.0
674,,0.0,0.002631578947368421,0.0
675,,0.0026595744680851063,0.010526315789473684,0.0
676,,0.0,0.013262599469496022,0.0
677,,0.002702702702702703,0.013333333333333334,0.0026666666666666666
678,,0.0,0.010309278350515464,0.0
679,,0.0,0.005319148936170213,0.0
680,,0.0,0.00554016620498615,0.0
681,,0.0,0.014084507042253521,0.0
682,,0.0,0.0,0.0
683,,0.0,0.0,0.002849002849002849
684,,,,
685,,0.0,0.0,0.0
686,,0.0,0.0,0.0
687,,,0.002688172043010753,
688,,0.0,0.0026595744680851063,0.007978723404255319
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,,,,
697,,,,
698,,0.0,0.0,0.0
699,,0.0,0.0,0.0
700,,0.0,0.0,0.002617801047120419
701,,0.0,0.0025188916876574307,0.0
702,,0.0,0.0,0.0
703,,0.0,0.0,0.0
704,,0.0,0.0024154589371980675,0.0
705,,0.0,0.0,0.0
706,,0.0,0.0,0.0
707,,0.0,0.0,0.0
708,,0.0,0.0,0.0
709,,0.0,0.0,0.0
710,,0.0,0.0,0.0
711,,0.0,0.0,0.0
712,,0.0024154589371980675,0.0024096385542168677,0.0
713,,0.0,0.0024271844660194173,0.0
714,,0.0,0.0,0.0
715,,0.0,0.0,0.0
716,,0.0,0.0,0.0
717,,0.0,0.0,0.0
718,,0.0,0.0,0.0
719,,0.017857142857142856,0.0035587188612099642,0.0035587188612099642
720,,0.0,0.14917127071823205,0.0
721,,0.0,0.036414565826330535,0.0
722,,0.0,0.0,0.0
723,,0.0,0.0,0.0
724,,0.0,0.002638522427440633,0.0
725,,0.0,0.002680965147453083,0.0
726,,0.0,0.008130081300813009,0.0
727,,0.0,0.03674540682414698,0.0
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,,,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,0.0,0.024054982817869417,0.003436426116838488
752,,0.0,0.004098360655737705,0.0
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,0.0,0.024054982817869417,0.0
766,,0.0,0.022653721682847898,0.0
767,,0.0,0.013888888888888888,0.0
768,,0.0,0.0026666666666666666,0.0
769,,0.0,0.007772020725388601,0.0025906735751295338
770,,0.0,0.007389162561576354,0.0
771,,0.0,0.007481296758104738,0.0
772,,0.0,0.002564102564102564,0.0
773,,0.0,0.005154639175257732,0.0
774,,0.0,0.007957559681697613,0.0
775,,0.0,0.015706806282722512,0.0
776,,0.0,0.013020833333333334,0.0026041666666666665
777,,0.0,0.00997506234413965,0.0
778,,0.0,0.0025188916876574307,0.0
779,,0.0024937655860349127,0.009876543209876543,0.0
780,,0.0,0.0024875621890547263,0.0
781,,0.0,0.0024691358024691358,0.0
782,,0.0,0.0024630541871921183,0.0
783,,0.002531645569620253,0.0025252525252525255,0.0
784,,0.0,0.002512562814070352,0.0
785,,0.0,0.005555555555555556,0.0
786,,0.003048780487804878,0.012048192771084338,0.0
787,,,,
788,,0.0,0.0055248618784530384,0.0
789,,0.0,0.0056179775280898875,0.0028089887640449437
790,,0.0,0.005449591280653951,0.0027247956403269754
791,,0.002531645569620253,0.0125,0.0025
792,,0.0,0.007462686567164179,0.0
793,,0.0,0.005208333333333333,0.0
794,,0.0,0.010416666666666666,0.0
795,,0.0,0.007957559681697613,0.0
796,,0.0,0.010526315789473684,0.0
797,,0.0,0.02631578947368421,0.0
798,,0.0,0.007334963325183374,0.0024449877750611247
799,,0.0,0.007246376811594203,0.0
800,,0.0,0.004901960784313725,0.0
801,,0.0,0.009592326139088728,0.0
802,,0.0,0.0048543689320388345,0.0
803,,0.0,0.0048543689320388345,0.0
804,,0.002421307506053269,0.0024154589371980675,0.0
805,,0.0,0.004866180048661801,0.0
806,,0.004878048780487805,0.0024330900243309003,0.0
807,,0.0,0.0049261083743842365,0.0
808,,0.0,0.002457002457002457,0.0
809,,0.0,0.0024154589371980675,0.0
810,,0.0,0.007142857142857143,0.0
811,,0.0,0.002369668246445498,0.0
812,,0.002380952380952381,0.004739336492890996,0.0
813,,0.0,0.0071090047393364926,0.0
814,,0.0,0.00477326968973747,0.0
815,,0.0,0.004750593824228029,0.0
816,,0.0,0.002364066193853428,0.0
817,,0.0,0.0,0.0
818,,0.0,0.0,0.0
819,,0.0,0.0,0.0
820,,0.0,0.004662004662004662,0.0
821,,0.0,0.004672897196261682,0.0
822,,0.0,0.0023584905660377358,0.0
823,,0.0,0.002352941176470588,0.0
824,,0.0,0.0047169811320754715,0.0
825,,0.0,0.0,0.0
826,,0.0,0.0,0.0
827,,0.0,0.009569377990430622,0.0
828,,0.0,0.004866180048661801,0.0
829,,0.0,0.0024449877750611247,0.0
830,,0.0,0.0024096385542168677,0.0
831,,0.0024096385542168677,0.002403846153846154,0.0
832,,0.0,0.0,0.0
833,,0.0,0.0,0.0
834,,0.0,0.0,0.0
835,,0.0,0.0,0.0
836,,0.0,0.0,0.0
837,,0.0,0.002380952380952381,0.0
838,,0.0,0.002380952380952381,0.0
839,,0.0,0.0,0.0
840,,0.0,0.00477326968973747,0.0
841,,0.0,0.0023923444976076554,0.0
842,,0.0,0.004866180048661801,0.0
843,,0.0,0.004901960784313725,0.0
844,,0.0,0.0024752475247524753,0.0
845,,0.0,0.0024875621890547263,0.0
846,,0.0,0.004975124378109453,0.004975124378109453
847,,0.0,0.007462686567164179,0.0
848,,0.0,0.007334963325183374,0.0
849,,0.0,0.005050505050505051,0.0
850,,0.0,0.005263157894736842,0.002631578947368421
851,,0.0,0.005333333333333333,0.0
852,,0.0,0.018617021276595744,0.0
853,,0.0,0.023746701846965697,0.0
854,,0.0,0.00804289544235925,0.0
855,,0.0,0.005235602094240838,0.0
856,,0.0,0.0,0.0
857,,0.0,0.007853403141361256,0.0
858,,0.0,0.007751937984496124,0.0
859,,0.0,0.0026595744680851063,0.0
860,,0.0,0.013440860215053764,0.0
861,,0.0,0.0027247956403269754,0.0
862,,0.0027472527472527475,0.024128686327077747,0.0
863,,0.0,0.0,0.0
864,,0.0,0.0,0.0
865,,0.0030581039755351682,0.0,0.0
866,,0.0,0.0,0.0
867,,0.0,0.009554140127388535,0.0
868,,0.010101010101010102,0.016556291390728478,0.0033112582781456954
869,,0.0,0.037037037037037035,0.0
870,,0.0,0.0026041666666666665,0.0
871,,0.0,0.0026041666666666665,0.0
872,,0.0,0.005141388174807198,0.0
873,,0.002564102564102564,0.0,0.0
874,,0.0,0.012626262626262626,0.0025252525252525255
875,,0.0,0.0024154589371980675,0.0
876,,0.0,0.0,0.0
877,,0.0,0.0,0.0
878,,0.0,0.0,0.0
879,,0.0,0.0,0.0
880,,0.0,0.0,0.0027472527472527475
881,,0.0,0.018134715025906734,0.0025906735751295338
882,,0.0,0.005076142131979695,0.0
883,,0.0,0.002551020408163265,0.0
884,,0.0,0.005076142131979695,0.0
885,,0.0,0.0,0.0
886,,0.0,0.023376623376623377,0.0
887,,0.0,0.00267379679144385,0.0
888,,0.0,0.021164021164021163,0.0026455026455026454
889,,0.0,0.042328042328042326,0.0026455026455026454
890,,0.0,0.0026109660574412533,0.0
891,,0.0,0.0,0.0
892,,0.0,0.015424164524421594,0.0
893,,0.0,0.0026455026455026454,0.0
894,,0.0,0.0025906735751295338,0.0051813471502590676
895,,0.0,0.015113350125944584,0.0
896,,0.0,0.0,0.0
897,,0.0,0.0,0.0
898,,0.0,0.0,0.0
899,,0.0,0.0,0.0024937655860349127
900,,0.0,0.002457002457002457,0.0
901,,0.0,0.0024875621890547263,0.0
902,,0.0,0.002544529262086514,0.0
903,,0.0,0.0028169014084507044,0.0
904,,0.0,0.008823529411764706,0.0
905,,,,
906,,0.0,0.004761904761904762,0.0
907,,0.0,0.01507537688442211,0.0
908,,0.009852216748768473,0.01932367149758454,0.0
909,,0.0,0.005154639175257732,0.05154639175257732
910,,,,
911,,,,
912,,,,
913,,,,
914,,,,
915,,,,
916,,,,
917,,,,
918,,,,
919,,,,
920,,,,
921,,,,
922,,,,
923,,0.0,0.19607843137254902,0.006535947712418301
924,,0.0,0.14344262295081966,0.0
925,,0.0,0.0234375,0.0
926,,0.004081632653061225,0.008097165991902834,0.0
927,,0.0038022813688212928,0.0149812734082397,0.0
928,,0.0,0.07718120805369127,0.0
929,,0.0,0.06375838926174497,0.0
930,,0.0,0.022304832713754646,0.0
931,,0.0,0.02158273381294964,0.0035971223021582736
932,,0.0,0.006369426751592357,0.0
933,,0.0,0.02735562310030395,0.0
934,,0.0,0.011904761904761904,0.005952380952380952
935,,0.002849002849002849,0.0056657223796034,0.0028328611898017
936,,0.0,0.002857142857142857,0.0
937,,0.0,0.0028089887640449437,0.0
938,,0.0,0.013812154696132596,0.0027624309392265192
939,,0.002702702702702703,0.0026954177897574125,0.0
940,,0.0,0.002638522427440633,0.0
941,,0.0,0.002631578947368421,0.0
942,,0.0,0.013623978201634877,0.0
943,,0.0027472527472527475,0.00546448087431694,0.0
944,,0.0,0.0026109660574412533,0.0
945,,0.0,0.002652519893899204,0.0
946,,0.0,0.013227513227513227,0.0
947,,0.0025906735751295338,0.005154639175257732,0.0
948,,0.0,0.007653061224489796,0.0
949,,0.0,0.005076142131979695,0.0
950,,0.0,0.004914004914004914,0.0
951,,0.0,0.0024096385542168677,0.0
952,,0.0,0.002421307506053269,0.0
953,,0.004889975550122249,0.004866180048661801,0.0
954,,0.0,0.005194805194805195,0.0
955,,0.0,0.0026595744680851063,0.0
956,,0.008086253369272238,0.005361930294906166,0.0
957,,0.0,0.010416666666666666,0.0
958,,0.010362694300518135,0.007712082262210797,0.0
959,,0.0,0.007481296758104738,0.0
960,,0.0,0.0,0.0
961,,0.0,0.0,0.0
962,,0.0,0.0024691358024691358,0.0
963,,0.0,0.004866180048661801,0.0
964,,0.0,0.007334963325183374,0.0
965,,0.0,0.0049261083743842365,0.0024630541871921183
966,,0.0,0.0,0.0
967,,0.0,0.002570694087403599,0.0
968,,0.0,0.002544529262086514,0.0
969,,0.0,0.0,0.0
970,,0.0,0.0,0.0
971,,0.0,0.0,0.0
972,,0.0,0.0,0.0
973,,0.0,0.0,0.0025575447570332483
974,,0.0,0.0,0.0
975,,0.0,0.022332506203473945,0.0
976,,0.002544529262086514,0.01256281407035176,0.002512562814070352
977,,0.0025252525252525255,0.0025188916876574307,0.0
978,,0.0,0.005194805194805195,0.0
979,,0.0,0.008130081300813009,0.0
980,,0.0,0.005917159763313609,0.0
981,,0.0,0.014492753623188406,0.0
982,,0.0,0.009230769230769232,0.0
983,,0.0,0.00625,0.0
984,,0.0,0.018867924528301886,0.0
985,,0.0,0.012618296529968454,0.0
986,,0.0,0.019933554817275746,0.0
987,,0.003401360544217687,0.010101010101010102,0.0
988,,0.0,0.05787781350482315,0.003215434083601286
989,,0.0,0.02903225806451613,0.0
990,,0.0,0.009900990099009901,0.0
991,,0.0,0.0,0.0
992,,0.0,0.017964071856287425,0.0
993,,0.0,0.002967359050445104,0.002967359050445104
994,,0.0,0.016,0.0
995,,0.0,0.00819672131147541,0.0
996,,0.0,0.00804289544235925,0.0
997,,0.0,0.008086253369272238,0.0
998,,0.0,0.002688172043010753,0.0
999,,0.0,0.005555555555555556,0.0
1000,,0.0,0.005405405405405406,0.0
1001,,0.0,0.00273224043715847,0.00273224043715847
1002,,0.0,0.005405405405405406,0.0
1003,,0.0,0.0025380710659898475,0.0
1004,,0.0,0.0025252525252525255,0.0
1005,,0.0,0.0025,0.0
1006,,0.0024449877750611247,0.004866180048661801,0.0
1007,,0.0,0.0024390243902439024,0.0
1008,,0.0,0.0049504950495049506,0.0
1009,,0.0,0.0024875621890547263,0.0
1010,,0.0,0.007425742574257425,0.0
1011,,0.0,0.0,0.0
1012,,0.0,0.007537688442211055,0.0
1013,,0.0,0.005012531328320802,0.0
1014,,0.0,0.009852216748768473,0.0
1015,,0.0,0.002506265664160401,0.0
1016,,0.0,0.002570694087403599,0.0
1017,,0.0,0.0027397260273972603,0.0
1018,,0.0,0.005479452054794521,0.0
1019,,0.0,0.007957559681697613,0.002652519893899204
1020,,0.0,0.002638522427440633,0.002638522427440633
1021,,0.0,0.007853403141361256,0.0
1022,,0.0,0.01288659793814433,0.0
1023,,0.0,0.009876543209876543,0.0
1024,,0.0,0.0024630541871921183,0.0
1025,,0.0,0.004987531172069825,0.0
1026,,0.0,0.0,0.0
1027,,0.0,0.005376344086021506,0.0
1028,,0.014450867052023121,0.002881844380403458,0.0
1029,,0.0026041666666666665,0.025380710659898477,0.0025380710659898475
1030,,0.0,0.005063291139240506,0.0
1031,,0.0,0.0,0.0
1032,,0.002506265664160401,0.004987531172069825,0.0
1033,,0.0,0.002457002457002457,0.0
1034,,0.0,0.0,0.0
1035,,0.0,0.0,0.0
1036,,0.0024691358024691358,0.0024630541871921183,0.0
1037,,0.0,0.0,0.0
1038,,0.0,0.0,0.0
1039,,0.0025,0.004975124378109453,0.0
1040,,0.0,0.004889975550122249,0.0
1041,,0.0,0.008086253369272238,0.0
1042,,0.0030211480362537764,0.006006006006006006,0.0
1043,,0.0,0.041884816753926704,0.0
1044,,0.0,0.002770083102493075,0.0
1045,,0.0,0.0,0.0
1046,,0.0,0.01662049861495845,0.002770083102493075
1047,,0.0,0.010752688172043012,0.0
1048,,0.0,0.005390835579514825,0.005390835579514825
1049,,0.0,0.0,0.002702702702702703
1050,,0.0,0.010282776349614395,0.0
1051,,0.0,0.002617801047120419,0.0
1052,,0.0,0.005235602094240838,0.0
1053,,,,
1054,,,0.005405405405405406,
1055,,,0.005509641873278237,
1056,,,0.0113314447592068,
1057,,,,
1058,,0.0,0.016713091922005572,0.0
1059,,0.002770083102493075,0.010958904109589041,0.0
1060,,0.0,0.016,0.0
1061,,0.0,0.005235602094240838,0.0
1062,,0.002702702702702703,0.0106951871657754,0.0
1063,,0.0,0.007936507936507936,0.0026455026455026454
1064,,0.0,0.0,0.0
1065,,0.0,0.0,0.002652519893899204
1066,,0.0,0.0,0.0
1067,,0.0,0.0,0.0
1068,,0.0,0.007792207792207792,0.0
1069,,0.0,0.01038961038961039,0.0
1070,,0.0025974025974025974,0.0,0.0
1071,,0.0,0.005194805194805195,0.0
1072,,0.0,0.0,0.005194805194805195
1073,,0.0,0.0,0.0
1074,,0.0,0.0,0.0
1075,,0.0,0.0,0.0
1076,,0.0,0.0,0.0
1077,,0.0,0.0,0.0
1078,,0.0,0.004878048780487805,0.0
1079,,0.0,0.0,0.0
1080,,0.0,0.0,0.0
1081,,0.0,0.0,0.0024330900243309003
1082,,0.0,0.0,0.0
1083,,0.0,0.0024330900243309003,0.0
1084,,0.0,0.002506265664160401,0.0
1085,,0.002544529262086514,0.0025380710659898475,0.0
1086,,0.002717391304347826,0.0027100271002710027,0.0
1087,,0.0,0.008152173913043478,0.0
1088,,0.0,0.005479452054794521,0.0
1089,,0.0,0.0027624309392265192,0.0
1090,,0.0,0.002770083102493075,0.0
1091,,0.0,0.0027247956403269754,0.0
1092,,0.0,0.0027247956403269754,0.0
1093,,0.0,0.008086253369272238,0.0
1094,,0.0,0.005865102639296188,0.0
1095,,0.01644736842105263,0.012987012987012988,0.0
1096,,0.0,0.047872340425531915,0.0
1097,,0.0,0.005434782608695652,0.0
1098,,0.0,0.005698005698005698,0.0
1099,,,,
1100,,0.0,0.008086253369272238,0.0
1101,,0.0,0.007772020725388601,0.0
1102,,0.0,0.01808785529715762,0.0
1103,,0.0,0.015384615384615385,0.0
1104,,0.0,0.020942408376963352,0.0
1105,,0.0,0.010526315789473684,0.0
1106,,0.0,0.013297872340425532,0.0
1107,,0.0,0.0056022408963585435,0.0
